index,gc_collection_count,gc_collection_time,memory_heap_usage_used,memory_non_heap_usage_used,network_request_FetchConsumer_TotalTimeMs,network_request_FetchFollower_TotalTimeMs,network_request_Fetch_MessageConversionsTimeMs,network_request_Produce_TotalTimeMs,network_socket_FetchConsumer_NetworkProcessorAvgIdlePercent,network_socket_FetchConsumer_RequestHandlerAvgIdlePercent,os_open_fd_count,os_process_cpu_time,server_broker_topics_TotalFetchRequestsPerSec,server_broker_topics_TotalProduceRequestsPerSec,server_broker_topics_AllTopicsBytesIn,server_broker_topics_AllTopicsBytesOut,server_replica_fetcher_MinFetchRate,server_replica_manager_LeaderCount,server_replica_manager_PartitionCount,threading_daemon_thread_count,threading_peak_thread_count,threading_thread_count
0,50796753243711.8,46101488123442.305,429.77737099783764,58.03166907174246,1.783132282876761,34.59517586477233,36.37830809730051,8.655235984039338,0.9267817968119293,0.9222684971181172,179.21428571428572,239134448.56555673,11943.138793904585,46.77357142832183,0.6062884517365806,0.7158335416950196,8.264312071377933,5.0,14.0,35.285714285714285,66.85714285714286,66.85714285714286
666,27141321228452.137,26725283143662.445,394.60626792907715,58.43834102153778,2.563559056705362,44.33830624802696,46.89853999119162,11.084785079610876,0.9669346089935165,0.994525618080138,209.0,263444926.19567513,4.035825926115806,33.21295213747638,0.7712348938969771,0.9589626866497502,10.194901668570882,3.0,9.0,41.0,82.0,82.0
333,66078558744669.63,60727468403285.22,227.2615732046274,68.13909618671124,2.132062280422211,18.31242168981639,20.444833510638873,9.156213524175211,0.9995227803041971,0.9951352489981911,232.0,245356109.23072097,0.0,36.57316960144204,0.5074321123012482,0.7230759938971183,7.958662137736734,4.0,12.0,43.0,92.0,92.0
1,65694262583651.76,64585341059768.76,301.64609654744464,64.33836555480957,0.97108858753869,132.38913580778183,133.2982240697717,33.15972225221199,0.9582248085811025,0.9943072895942974,197.0,325977588.72396463,22919.238146649033,99.34958514856311,0.5026865940749236,0.7903447673443873,28.848372355146605,3.0,9.0,45.0,81.0,81.0
667,34823035910832.3,35896389534504.38,309.3712636311849,62.462345886230466,1.189933778588901,89.7253346501676,90.9145896790486,44.87614553386549,0.9157242715962833,0.9945273065389272,148.0,329683240.1382205,4479.880847039373,44.8804999567385,0.722109308892276,0.8225762123218555,40.12171600601958,1.0,3.0,43.0,67.0,67.0
334,60622958689164.57,66106172753495.586,428.5453849205604,64.2243064733652,0.7810198773820726,191.8267989238396,192.60358846728616,32.010674564149504,0.9895970438353641,0.9939453232906743,206.07692307692307,376132539.42462945,33458.494196159176,95.95002942639478,0.4805054280459021,0.5815051317789803,27.935231168308714,3.0,10.0,42.0,80.0,80.0
2,54638047152845.59,46961122333876.445,506.2535996870561,52.31891077215021,0.6952331295476483,1104.9490719150388,1105.8617391241364,365.5732280910255,0.8537094444303406,0.9514012981201798,169.0,559099466.2525874,17960.698572281985,554.4752567291823,0.3012000594787923,0.5064429947253953,142.51410943304134,3.0,8.0,31.0,58.0,58.0
668,41290382620764.09,50093292071657.83,206.78678554958768,61.8058140012953,1.6359611238587202,156.32181732017744,158.1301093244951,39.2085769806982,0.9958862550154729,0.9950056683958187,219.0,310117104.2905617,14913.000385004196,117.58263698878721,0.8813829108913755,1.6171584216809145,36.36137727841578,3.0,7.0,46.0,91.0,91.0
335,53632880821282.695,74235063046608.84,453.31281221829926,68.34756528414212,0.8093693991826882,96.37803172565837,97.18742493749103,9.6378046618217,0.9905767898246296,0.9929734003028354,258.0,331842866.7316483,14.41284457014304,48.19039025248182,0.5288162977002054,0.5702865001547798,9.013797916074497,5.0,14.0,40.0,92.0,92.0
3,58168462693567.37,62313903843792.06,282.74113607406616,63.77602952718735,0.49962577123183183,45.90928958515075,46.40642202262482,23.010295117711436,0.9649918824375006,0.9948047837874345,188.0,277721805.55741245,2089.3418249917895,22.99874538971598,0.3192033555545508,0.3517226495122834,19.469361270689543,1.0,5.0,42.0,78.0,78.0
669,24660081336780.75,26271499553084.6,358.3732924461365,61.86650025844574,0.82855582780819,434.7162352246379,435.556024158871,54.41777537565624,0.9930454952373787,0.9901956685656537,251.0625,360941332.5948743,8496.187591908429,217.56043490634067,0.6170561304946321,0.6639059099048084,47.7854891482048,4.0,13.0,40.0,90.0,90.0
336,75871656506831.4,73478535601234.23,318.90790121895924,67.91605922154018,0.9865610572473018,56.834523430563046,57.821111077038566,9.472421926366598,0.9601913480863734,0.9877124794483956,208.0,316094365.85818,4.013727345328379,28.422299605617006,0.4697372052064778,0.5526527587576667,8.718821146660881,3.0,10.0,33.0,72.0,72.0
