index,min,max,median,mean,std,25th,50th,75th,90th,95th,99th
0,0.213440418243,6.20549058914,2.29264521599,2.312705342223401,0.9875048614741294,1.536405324935,2.29264521599,3.03079032898,3.554138422012,3.856324124335,4.984702744483399
666,0.266010761261,3.89577388763,1.21655678749,1.2449218357220064,0.468360640607892,0.892555952072,1.21655678749,1.54496145248,1.8248668193800004,2.00241150856,2.639692955015205
333,0.300657987595,5.79908299446,1.834678769115,1.8863126510089978,0.7432109516004498,1.336280941965,1.834678769115,2.33640742302,2.788533186911,3.1420897841455,4.15703487396
1,0.442417383194,10.5965497494,4.97916698456,5.047818857163548,2.278897120651819,3.14926463366,4.97916698456,6.95782124996,8.159039235113001,8.675490248206,9.381566500661
667,0.224224567413,2.70869827271,0.891901016235,0.9075917852956865,0.3296199234938323,0.657246828079,0.891901016235,1.1230634450900001,1.32711958885,1.458026766775,1.7699134826690004
334,0.326478481293,6.11659288406,2.9181227684,2.8970657506441673,1.1690456446934598,1.94926810265,2.9181227684,3.83990812302,4.43854832649,4.74178004265,5.17995047569
2,0.259173870087,9.52275705338,5.24064159393,5.097662823675611,2.1848041087916217,3.36414885521,5.24064159393,6.95648980141,7.942577219006,8.303786611553999,8.8186173248296
668,0.625733137131,11.3527212143,5.71722376347,5.740675654040104,2.4986468368184678,3.65694862604,5.71722376347,7.8150982260675,9.112001419065,9.704427528377499,10.500616593350998
335,0.358258724213,9.74621725082,4.785951018335,4.7783828103454535,2.0261330032058193,3.13320088387,4.785951018335,6.4300894737275,7.491012167928001,7.996698641779999,8.680043127539399
3,0.439432859421,5.16721916199,2.6608505249,2.6609108110801944,1.1011660709607485,1.7458293438,2.6608505249,3.5801012516,4.133284711834,4.3981282711039995,4.772074966433199
669,0.265933990479,8.61697983742,3.9520432949049997,3.9388382870621332,1.738839108338928,2.50175845623,3.9520432949049997,5.375128626825,6.259990453721001,6.660069417951502,7.243701207641301
336,0.40506529808,7.03769683838,3.59403681755,3.561182123567294,1.4493581247695038,2.3824727535249997,3.59403681755,4.7385554313650005,5.4814914703360005,5.8422313928600005,6.344989390377199
4,0.866971731186,9.30147051811,4.94911050797,5.006440253923856,2.135552442236229,3.20439314842,4.94911050797,6.83034944534,7.936634349824,8.393887662883996,8.939884815217601
670,0.605528116226,7.53087472916,3.93750476837,3.9743915419544638,1.6578790067979667,2.5953984260549996,3.93750476837,5.36105644703,6.217293024062,6.629082894328,7.1581804275522
337,0.899609565735,9.6937816143,5.35427427292,5.323707075780126,2.1132347127937843,3.57114434242,5.35427427292,7.11171364784,8.105819702148,8.606751346588,9.181896514892802
5,0.378004312515,11.8220405579,5.69412660599,5.766460375572169,2.591316495575522,3.627399504185,5.69412660599,7.922397136687501,9.306995487216003,9.906496000292,10.736317586916
671,0.268775463104,3.29868936539,1.08625078201,1.1134258614319716,0.40968905042053044,0.8041499853134999,1.08625078201,1.37351870537,1.624487209318,1.7877129077960003,2.3283436155310056
338,0.544399738312,11.7146568298,5.57516908646,5.4732733830052664,2.290293687546245,3.62223148346,5.57516908646,7.34436607361,8.427564525602,8.951755332945996,9.961188497542404
672,0.245923519135,2.99062728882,0.926815748215,0.9497855991976755,0.34749181375169275,0.6914294958114999,0.926815748215,1.15862572193,1.3661568164859998,1.5070415973709996,2.0764134979251985
6,0.415125608444,9.63616275787,4.59467744827,4.621426964507944,2.0179910016030904,2.96157956123,4.59467744827,6.28514480591,7.353323030474001,7.839658260343999,8.506989431382003
339,0.292943000793,6.25516605377,2.97491383553,2.9440763171099564,1.1472963615875107,2.0360770225550002,2.97491383553,3.867320656775,4.446002864836,4.737548375129999,5.150517067909399
673,0.496887683868,7.68357348442,3.83302044868,3.876189265974486,1.6800336465798666,2.4750679135299998,3.83302044868,5.2848578095425,6.152965164186001,6.5441823124895,7.0749122047447
7,0.641279220581,7.7071120739,3.963657140735,3.9864194874070535,1.6327221368421245,2.6392794847525,3.963657140735,5.3399805426625,6.172157764435,6.58373963833,7.1656666517239955
340,0.918951272964,10.6392352581,5.45828795433,5.363443993477045,2.1771036231715124,3.548389732835,5.45828795433,7.19741022587,8.18215045929,8.671783137320999,9.229391860963295
8,0.809839487076,8.89863848686,4.69604730606,4.6980074613455844,1.8956002258940514,3.13992023468,4.69604730606,6.276202321055,7.205480146404,7.693553328510998,8.364849448200205
674,0.690168619156,4.96881270409,2.73307240009,2.7192924602909407,1.0300954798673498,1.8634207844775,2.73307240009,3.584674775605,4.049992537501,4.325617444516498,4.7360005545594
341,0.346033811569,5.67574763298,1.898582458495,1.9423362689845176,0.7494517845156953,1.3820297121975,1.898582458495,2.4111360311475,2.852704691889,3.186639642719499,4.199956712721799
675,0.385502099991,8.27662110329,4.02541089058,4.0156426610925635,1.7115646358991778,2.61327326298,4.02541089058,5.42677283287,6.30945014954,6.71318387985,7.272749733925001
9,0.309223175049,4.79690599442,1.48526716232,1.5280937068363962,0.5971516832161401,1.0885291695575,1.48526716232,1.883915126325,2.230870366095,2.5009274482699997,3.4855971574795
342,0.386043071747,5.69259190559,2.846521377565,2.821413136635832,1.1328248389722861,1.9012306332625,2.846521377565,3.75672382116,4.30493724346,4.5726482272125,4.982812440396999
676,0.204353094101,3.33564543724,1.4381901025800001,1.4386790885363545,0.5826245165587451,0.9620984196665,1.4381901025800001,1.9136930108075,2.2134434461619996,2.362197196485499,2.5695484495186998
10,0.260667085648,4.73210024834,2.10110497475,2.1058986200194822,0.8795526083059337,1.37706899643,2.10110497475,2.83308005333,3.2813808918,3.49299001694,3.81569657326
343,0.548233747482,5.37555456161,2.8634945154149998,2.8258627271697687,1.068863552177523,1.94486486912,2.8634945154149998,3.7171432971975,4.213315153121,4.4788226842854995,4.790272219183799
677,0.392832040787,9.38887453079,4.59144353867,4.630107915924802,2.0153207886489857,2.96298754215,4.59144353867,6.3037714958199995,7.36062288284,7.8419040441500005,8.494432091709998
11,0.917537927628,8.2989885807,4.59505724907,4.607503782622054,1.8522733686538635,3.06401109695,4.59505724907,6.17683815956,7.091004943848,7.5485867977179995,8.010197410579599
344,0.928386926651,6.45063900948,3.4921222925200004,3.46965556815599,1.2817170158422333,2.4030843377075,3.4921222925200004,4.5351081490550005,5.113850498199,5.488119292256499,6.0240973663332005
12,0.242984056473,7.51121425629,2.84858608246,2.861687901488856,1.2433211871780006,1.84420204163,2.84858608246,3.84067368507,4.470830345152001,4.801991510392,5.6712529659304005
678,0.260998249054,5.12222862244,2.12749528885,2.1282902122293863,0.8765183417596913,1.40753245354,2.12749528885,2.83778357506,3.28541731834,3.50648021698,3.845128893855
345,1.19767069817,9.49313473701,4.8082947731,4.791998640384387,1.8123536765351118,3.3027975559250002,4.8082947731,6.32564973831,7.08825039864,7.615419864655,8.346281957626
13,0.383250236511,6.45075678825,3.25964355469,3.251610424350577,1.3954606875424973,2.09174776077,3.25964355469,4.40949463844,5.12728834152,5.4359588623,5.877464246749998
679,0.630334377289,7.60064530373,3.94734454155,3.9587685896835096,1.64688642453457,2.572240710255,3.94734454155,5.33882546425,6.1465858936340005,6.569135689734,7.1507962036136
346,0.408201217651,9.18978023529,4.35305643082,4.313180316992266,1.7867603229447369,2.86476421356,4.35305643082,5.75373291969,6.662161588666001,7.11864528656,7.8354067516348
14,0.302896499634,4.33057999611,1.45290780067,1.4977494017388493,0.5676484139589622,1.0788584947575,1.45290780067,1.8304296135875,2.1808696508370002,2.470255792137,3.3443879699716015
680,0.449630498886,6.49819040298,3.34537100792,3.3230324038860584,1.3811526201083737,2.1780163049675,3.34537100792,4.4798368215575,5.148410439489,5.468486952783,5.886441168786001
347,0.45214343071,14.2655787468,6.18753576279,6.148430454389291,2.680543045750622,3.96285033226,6.18753576279,8.30357813835,9.6270506382,10.2952017784,11.825671052950003
15,0.434278249741,7.99361848831,3.4346799850450003,3.2645433306185665,1.5137291578431507,1.9862846732125,3.4346799850450003,4.519939482215,5.069275355338,5.307984375955499,6.620896461007799
681,0.622704982758,11.2972586155,5.89928245544,5.881549718091375,2.530904636220145,3.7844551801649997,5.89928245544,8.00134664774,9.267362833025,9.8467027544985,10.603657262354002
348,0.617007732391,12.0591466427,5.86178398132,5.937018310000356,2.544448791252636,3.87006545067,5.86178398132,7.99575710297,9.40983533859,10.0726559162,10.9734289646
16,0.795006752014,8.18479657173,4.417462825775,4.462007149757293,1.878592370150215,2.8741198182075,4.417462825775,6.07765632868,7.015730214121,7.4226399660109985,7.899388718606399
